City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Cidreira,BR,62.83,overcast clouds,-30.1811,-50.2056,Hotel Castelo
149,Lodja,CD,67.57,few clouds,-3.4833,23.4333,
156,Kisesa,TZ,71.87,overcast clouds,-3.0833,34.15,
157,Kijang,KR,69.53,few clouds,35.2442,129.2139,Samyang Beach Villa
158,Aljezur,PT,68.81,broken clouds,37.3191,-8.8033,Amazigh Hostel
159,Cururupu,BR,77.52,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
166,Wewak,PG,78.64,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
168,Kikwit,CD,68.97,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
170,Barcelona,ES,65.53,clear sky,41.3888,2.159,Axel Hotel Barcelona
171,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
172,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
174,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
179,Half Moon Bay,US,71.11,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Nishihara,JP,79.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
181,Kesinga,IN,74.91,clear sky,20.2,83.2333,Hotel Jayashree
182,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
185,Navirai,BR,73.18,broken clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
188,Fare,PF,78.96,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
189,Tequisquiapan,MX,69.55,overcast clouds,20.5167,-99.8667,Hotel Boutique La Granja
190,Faanui,PF,78.82,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Armidale,AU,63.3,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
197,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
200,Guerrero Negro,MX,73.62,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
210,Guaraniacu,BR,64.6,moderate rain,-25.1008,-52.8781,Dalla´s Hotel
216,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
218,Bandar-E Anzali,IR,61.2,overcast clouds,37.4727,49.4622,هتل بیاچ
221,Los Palacios,CU,77.41,scattered clouds,22.5872,-83.2486,
