City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Stokmarknes,NO,68.5646,14.9108,47.5,74,100,13.02,overcast clouds
119,Airai,TL,-8.9266,125.4092,74.77,34,13,3.06,few clouds
120,Dikson,RU,73.5069,80.5464,30.99,77,100,6.46,overcast clouds
121,Bilma,NE,18.6853,12.9164,80.19,17,0,4.12,clear sky
122,Porangatu,BR,-13.4408,-49.1486,84.87,38,27,2.01,scattered clouds
123,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,15,0,8.05,clear sky
124,Kostek,RU,43.3439,46.8541,51.55,76,100,13.0,overcast clouds
125,Chuy,UY,-33.6971,-53.4616,50.45,65,29,12.84,scattered clouds
126,Thompson,CA,55.7435,-97.8558,53.76,58,75,5.75,broken clouds
127,Souillac,MU,-20.5167,57.5167,72.36,94,40,6.91,scattered clouds
128,Acapulco,MX,16.8634,-99.8901,82.78,80,39,3.62,scattered clouds
129,Dharmadam,IN,11.7833,75.4333,76.35,89,94,6.42,overcast clouds
130,Kahului,US,20.8947,-156.47,87.82,63,20,24.16,few clouds
131,Suicheng,CN,33.8963,117.9331,62.26,81,62,12.68,broken clouds
132,Maumere,ID,-8.6199,122.2111,81.05,76,64,6.38,broken clouds
133,Lasa,IT,46.6166,10.7002,49.08,95,80,8.88,broken clouds
134,Moron,AR,-34.6534,-58.6198,57.96,51,5,3.0,clear sky
135,Provideniya,RU,64.3833,-173.3,41.11,81,75,6.71,broken clouds
136,Chapais,CA,49.7834,-74.8492,55.18,74,97,2.84,overcast clouds
137,Surt,LY,31.2089,16.5887,72.05,59,0,17.2,clear sky
138,Aklavik,CA,68.2191,-135.0107,40.03,80,100,7.61,overcast clouds
139,Moura,PT,38.1401,-7.4486,68.11,49,1,5.7,clear sky
140,Lagoa,PT,39.05,-27.9833,70.7,87,46,12.5,scattered clouds
141,Porto,PT,41.1496,-8.611,68.29,78,0,1.99,clear sky
142,Zhanakorgan,KZ,43.9098,67.2495,41.56,34,48,19.93,scattered clouds
143,Atar,MR,20.5169,-13.0499,91.85,13,93,5.73,overcast clouds
144,Arrecife,ES,28.963,-13.5477,73.47,78,20,6.91,few clouds
145,Cidreira,BR,-30.1811,-50.2056,62.83,77,100,16.64,overcast clouds
146,Riyadh,SA,24.6877,46.7219,80.74,26,10,3.87,clear sky
147,Namatanai,PG,-3.6667,152.4333,84.38,67,99,1.05,overcast clouds
148,Constitucion,CL,-35.3333,-72.4167,52.97,72,0,8.1,clear sky
149,Lodja,CD,-3.4833,23.4333,67.57,95,15,1.19,few clouds
150,Pokosnoye,RU,55.5258,101.0536,28.11,88,44,4.09,scattered clouds
151,Anchorage,US,61.2181,-149.9003,47.68,75,90,8.99,light rain
152,Ancud,CL,-41.8697,-73.8203,51.33,72,0,5.53,clear sky
153,Paamiut,GL,61.994,-49.6678,38.28,60,100,8.84,overcast clouds
154,Fort Nelson,CA,58.8053,-122.7002,36.99,81,75,3.44,broken clouds
155,Hobart,AU,-42.8794,147.3294,54.05,59,75,1.99,broken clouds
156,Kisesa,TZ,-3.0833,34.15,71.87,52,93,1.5,overcast clouds
157,Kijang,KR,35.2442,129.2139,69.53,74,19,4.29,few clouds
158,Aljezur,PT,37.3191,-8.8033,68.81,62,56,2.68,broken clouds
159,Cururupu,BR,-1.8283,-44.8683,77.52,87,68,4.0,broken clouds
160,Tilichiki,RU,60.4667,166.1,27.81,83,100,12.46,light snow
161,Leningradskiy,RU,69.3833,178.4167,28.6,97,100,3.87,light snow
162,Sistranda,NO,63.7256,8.834,50.9,84,100,37.16,overcast clouds
163,Vanavara,RU,60.34,102.2797,29.23,92,100,12.33,light snow
164,Ahipara,NZ,-35.1667,173.1667,59.7,92,100,0.63,light rain
165,Codrington,AU,-38.2667,141.9667,54.73,58,55,15.26,broken clouds
166,Wewak,PG,-3.5534,143.6268,78.64,82,95,6.42,overcast clouds
167,Alofi,NU,-19.0595,-169.9187,82.29,65,86,11.5,overcast clouds
168,Kikwit,CD,-5.041,18.8162,68.97,92,75,0.78,broken clouds
169,Muyezerskiy,RU,63.9333,31.65,46.9,77,92,16.46,overcast clouds
170,Barcelona,ES,41.3888,2.159,65.53,85,0,8.05,clear sky
171,Lompoc,US,34.6391,-120.4579,77.68,74,1,14.97,clear sky
172,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,17.27,clear sky
173,Vestmannaeyjar,IS,63.4427,-20.2734,45.55,78,100,28.25,overcast clouds
174,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,0,6.91,clear sky
175,Salamanca,ES,40.8333,-6.0,50.99,59,54,6.13,broken clouds
176,Ostrovnoy,RU,68.0531,39.5131,46.74,87,100,23.42,overcast clouds
177,Redlands,US,34.0556,-117.1825,83.32,55,1,3.0,clear sky
178,Osakarovka,KZ,50.565,72.5692,20.41,97,18,3.67,few clouds
179,Half Moon Bay,US,37.4636,-122.4286,71.11,60,1,8.05,clear sky
180,Nishihara,JP,26.1842,127.7558,79.88,95,90,4.61,overcast clouds
181,Kesinga,IN,20.2,83.2333,74.91,88,7,1.86,clear sky
182,Saldanha,ZA,-33.0117,17.9442,64.45,66,0,7.94,clear sky
183,Sao Miguel,BR,-5.4667,-35.3667,80.92,84,55,18.39,broken clouds
184,Las Lomas,PA,8.4333,-82.4,80.01,89,75,8.05,broken clouds
185,Navirai,BR,-23.065,-54.1906,73.18,91,68,12.21,broken clouds
186,Chokurdakh,RU,70.6333,147.9167,17.67,91,98,8.63,overcast clouds
187,New Norfolk,AU,-42.7826,147.0587,53.71,47,73,4.0,broken clouds
188,Fare,PF,-16.7,-151.0167,78.96,72,18,10.71,few clouds
189,Tequisquiapan,MX,20.5167,-99.8667,69.55,73,91,8.84,overcast clouds
190,Faanui,PF,-16.4833,-151.75,78.82,71,8,12.1,clear sky
191,Hofn,IS,64.2539,-15.2082,40.1,93,100,19.84,overcast clouds
192,Vysokogornyy,RU,50.1167,139.15,38.52,49,43,6.85,scattered clouds
193,Rawson,AR,-43.3002,-65.1023,50.9,45,3,21.14,clear sky
194,Armidale,AU,-30.5167,151.65,63.3,28,85,10.11,overcast clouds
195,Baruun-Urt,MN,46.6806,113.2792,40.24,49,3,8.01,clear sky
196,Mar Del Plata,AR,-38.0023,-57.5575,50.0,65,8,14.0,clear sky
197,Grand Gaube,MU,-20.0064,57.6608,72.37,77,8,1.99,clear sky
198,Chapleau,CA,47.8405,-83.4034,57.29,88,1,2.3,clear sky
199,Carnarvon,AU,-24.8667,113.6333,59.07,63,0,11.5,clear sky
200,Guerrero Negro,MX,27.9769,-114.0611,73.62,65,24,16.67,few clouds
201,Urumqi,CN,43.801,87.6005,34.75,87,90,4.47,light rain
202,Oranjemund,NA,-28.55,16.4333,60.17,61,0,6.31,clear sky
203,Yartsevo,RU,55.0667,32.6964,35.78,80,1,4.83,clear sky
204,Poltavka,RU,54.3663,71.7632,37.33,77,100,10.54,overcast clouds
205,Umm Kaddadah,SD,13.6017,26.6876,83.14,18,61,12.84,broken clouds
206,Saskylakh,RU,71.9167,114.0833,23.25,96,100,12.93,light snow
207,Hami,CN,42.8,93.45,51.35,42,91,11.18,overcast clouds
208,Sisimiut,GL,66.9395,-53.6735,35.62,75,100,4.99,overcast clouds
209,Cayenne,GF,4.9333,-52.3333,82.09,86,20,0.0,few clouds
210,Guaraniacu,BR,-25.1008,-52.8781,64.6,98,65,3.89,moderate rain
211,Coihaique,CL,-45.5752,-72.0662,49.95,50,75,6.91,broken clouds
212,Sandanski,BG,41.5667,23.2833,53.37,86,53,2.21,broken clouds
213,Korla,CN,41.7597,86.1469,55.56,35,90,6.44,overcast clouds
214,West Wendover,US,40.7391,-114.0733,58.21,67,89,14.97,overcast clouds
215,Sitka,US,57.0531,-135.33,48.09,71,40,0.0,light rain
216,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,88,3.49,overcast clouds
217,Grootfontein,NA,-19.5667,18.1167,72.12,50,92,10.04,overcast clouds
218,Bandar-E Anzali,IR,37.4727,49.4622,61.2,79,100,20.51,overcast clouds
219,Veraval,IN,20.9,70.3667,81.36,79,99,9.1,overcast clouds
220,Mehamn,NO,71.0357,27.8492,40.91,70,100,14.34,overcast clouds
221,Los Palacios,CU,22.5872,-83.2486,77.41,84,29,4.68,scattered clouds
222,Nanortalik,GL,60.1432,-45.2371,38.21,63,97,4.16,overcast clouds
223,Puerto Ayacucho,VE,5.6639,-67.6236,78.55,86,99,3.42,overcast clouds
224,Aldan,RU,58.6031,125.3894,27.84,85,100,3.33,overcast clouds
225,Paidha,UG,2.4167,30.9855,59.18,90,26,5.84,light rain
226,Deputatskiy,RU,69.3,139.9,21.51,86,100,4.36,overcast clouds
227,Kaitangata,NZ,-46.2817,169.8464,65.07,49,85,3.8,overcast clouds
228,Awbari,LY,26.5921,12.7805,72.61,27,0,4.94,clear sky
229,Ulladulla,AU,-35.35,150.4667,79.88,33,18,10.56,few clouds
230,Port Macquarie,AU,-31.4333,152.9167,71.89,31,99,7.76,overcast clouds
231,Balikpapan,ID,-1.2675,116.8289,78.33,87,100,6.71,overcast clouds
232,Kirkuk,IQ,35.4681,44.3922,71.92,20,0,7.16,clear sky
233,Puerto Cabezas,NI,14.0351,-83.3888,78.76,94,40,0.0,light intensity drizzle
234,Port Lincoln,AU,-34.7333,135.8667,57.56,49,23,9.04,few clouds
235,Beringovskiy,RU,63.05,179.3167,34.2,76,98,8.93,overcast clouds
236,Hemsedal,NO,60.8629,8.5534,47.16,86,78,4.74,broken clouds
237,Sivaki,RU,52.6333,126.75,33.04,99,100,6.6,snow
238,Lolodorf,CM,3.2333,10.7333,70.75,100,91,1.79,overcast clouds
239,Mahibadhoo,MV,3.7833,72.9667,83.23,75,46,13.6,scattered clouds
240,Kailua,US,21.4022,-157.7394,87.78,63,20,16.11,few clouds
241,Rey Bouba,CM,8.6724,14.1786,75.11,83,35,1.07,scattered clouds
242,Klaksvik,FO,62.2266,-6.589,45.52,79,100,22.35,overcast clouds
243,Oussouye,SN,12.485,-16.5469,82.58,74,48,5.03,scattered clouds
