City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Russell,US,2021-10-02 12:40:15,32.3502,-85.1999,70.88,93,27,6.13
100,Avarua,CK,2021-10-02 12:34:53,-21.2078,-159.775,71.65,100,90,1.14
101,Gemena,CD,2021-10-02 12:40:16,3.25,19.7667,92.86,39,52,3.71
102,Somerville,US,2021-10-02 12:40:16,42.3876,-71.0995,56.88,81,40,1.01
103,Axim,GH,2021-10-02 12:40:16,4.8699,-2.2405,82.56,73,82,6.82
104,Esmeraldas,BR,2021-10-02 12:40:16,-19.7625,-44.3139,78.04,38,41,8.59
105,Taltal,CL,2021-10-02 12:40:17,-25.4,-70.4833,60.84,66,0,5.26
106,Bambous Virieux,MU,2021-10-02 12:37:10,-20.3428,57.7575,77.25,69,75,16.11
107,Sakaiminato,JP,2021-10-02 12:39:18,35.55,133.2333,69.78,88,20,3.44
108,Calbuco,CL,2021-10-02 12:40:17,-41.768,-73.1273,40.21,63,4,14.36
109,Naze,JP,2021-10-02 12:40:18,28.3667,129.4833,77.09,77,7,10.63
110,Batemans Bay,AU,2021-10-02 12:40:18,-35.7167,150.1833,57.2,97,42,4.14
111,Paamiut,GL,2021-10-02 12:40:18,61.994,-49.6678,38.41,72,7,13.69
112,Cruz,BR,2021-10-02 12:40:18,-2.9178,-40.1717,89.4,49,54,16.28
113,Mount Isa,AU,2021-10-02 12:40:19,-20.7333,139.5,69.57,17,0,1.14
114,Isangel,VU,2021-10-02 12:40:19,-19.55,169.2667,73.35,92,100,9.42
115,Mar Del Plata,AR,2021-10-02 12:31:13,-38.0023,-57.5575,57.99,67,0,14.0
116,Kropotkin,RU,2021-10-02 12:40:19,45.4375,40.5756,60.31,54,46,18.59
117,Sao Felix Do Xingu,BR,2021-10-02 12:40:20,-6.6447,-51.995,84.63,62,100,2.77
118,Bandrele,YT,2021-10-02 12:40:20,-12.9067,45.1914,83.95,61,0,10.36
119,Rio Brilhante,BR,2021-10-02 12:40:20,-21.8019,-54.5464,83.37,57,79,9.44
120,Westport,US,2021-10-02 12:35:22,41.1415,-73.3579,63.75,81,1,5.99
121,Devarkonda,IN,2021-10-02 12:40:21,16.7,78.9333,80.58,78,24,6.46
122,Atar,MR,2021-10-02 12:40:21,20.5169,-13.0499,105.04,12,25,10.22
123,Turukhansk,RU,2021-10-02 12:40:21,65.8167,87.9833,34.25,86,100,1.61
